Startup~Latest Story~URL
Payward / Kraken~ ~ 
iodine~On iodine and intelligence~http://www.gwern.net/Iodine
MaiCoin~ ~ 
Sprig~Startup Healthcare searching for dynamic RoR developer~http://news.ycombinator.com/item?id=3270820
Freshplum~FreshPlum Launches Helium: Buy Sam a Beer~http://danielodio.com/buy-sam-a-beer
ooomf~FounderFuel Alum ooomf Relaunches as an App and Project Marketplace~http://www.techvibes.com/blog/founderfuel-alum-ooomf-relaunches-as-an-app-and-project-marketplace-2013-04-03
Smeeters~ ~ 
Robocoin~Robocoin Exceeds $1,000,000 CAD transaction volume on 29th Day Live~http://blog.robocoinkiosk.com/2013/11/26/robocoin-exceeds-1000000-cad-transaction-volume-on-29th-day-live/
Leap Transit~Leap Transit~http://leaptransit.com/
BRCK~Can anyone help me build satellites in my basement?~http://news.ycombinator.com/item?id=6857462
Moonfrye~ ~ 
Medlio~ ~ 
